,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
2008-01-01,1.1%,5.1%,6.8%,71.9%,28.2%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-02-01,-2.8%,14.6%,31.5%,26.7%,-7.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-03-01,14.8%,19.9%,-7.9%,6.4%,-15.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-04-01,-14.6%,-21.8%,-2.6%,7.9%,-12.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-05-01,0.3%,-18.9%,-15.1%,-12.2%,-10.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-06-01,-4.8%,-1.0%,3.1%,4.4%,-7.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-07-01,-12.7%,-25.8%,-14.3%,-3.5%,0.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-08-01,10.3%,66.0%,23.7%,17.0%,-15.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-09-01,9.9%,30.7%,31.4%,125.6%,24.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-10-01,4.5%,69.2%,32.0%,152.8%,60.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-11-01,38.5%,-6.8%,-8.0%,13.9%,2.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2008-12-01,30.2%,18.4%,16.2%,1.0%,-22.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-01-01,-18.3%,-16.8%,-12.8%,15.1%,-21.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-02-01,-5.0%,-9.9%,-8.5%,-8.3%,-1.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-03-01,-9.5%,-4.2%,-19.9%,-9.8%,1.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-04-01,-16.0%,-24.9%,-18.3%,-14.1%,1.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-05-01,14.7%,36.3%,9.6%,8.9%,-1.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-06-01,-15.7%,-19.4%,-5.0%,1.7%,-17.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-07-01,-16.82%,-23.25%,-9.51%,23.42%,6.70%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-08-01,-6.96%,-21.52%,-8.83%,17.24%,19.22%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-09-01,-11.54%,-8.23%,-6.70%,-9.12%,-4.42%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-10-01,-15.35%,-12.79%,-2.90%,-13.39%,-10.89%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-11-01,-5.01%,-6.31%,11.49%,-17.89%,-15.39%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2009-12-01,-13.71%,-7.07%,-20.61%,-22.51%,-14.90%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-01-01,-20.97%,-11.59%,-6.28%,-19.17%,-11.81%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-02-01,-14.19%,8.25%,-9.40%,-12.72%,-23.00%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-03-01,-23.82%,-11.74%,-16.44%,-28.02%,-2.07%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-04-01,5.18%,-15.89%,-4.33%,17.80%,-4.90%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-05-01,21.37%,47.72%,-4.32%,18.04%,15.24%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-06-01,-1.59%,-4.25%,-14.60%,-22.73%,-8.52%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-07-01,-14.23%,17.16%,22.18%,-13.30%,-21.33%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-08-01,45.21%,2.38%,-4.25%,-8.42%,-23.39%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-09-01,-18.09%,0.70%,3.08%,6.67%,-1.28%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-10-01,-15.68%,5.57%,16.01%,-11.66%,-8.95%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-11-01,1.00%,-19.85%,2.62%,-9.69%,-12.85%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2010-12-01,0.49%,-4.54%,-1.40%,-24.20%,-12.06%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2011-01-01,-6.45%,-17.63%,-20.97%,-9.81%,-15.31%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
